Branch Code,Branch Name,Area,Manager,Status,Latitude,Longitude,Opening Notes,Min Stock Set?,Remarks
BR001,RNR Juru Arah Selatan,Utara,Safuan,Active,,,,,
BR002,RNR Gunung Semanggul Arah Selatan,Utara,Safuan,Active,,,,,
BR003,RNR Gunung Semanggul Arah Utara,Utara,Safuan,Active,,,,,
BR004,Hentian Sebelah Bukit Gantang Arah Utara,Utara,Safuan,Active,,,,,
BR005,RNR Sg Perak Arah Selatan,Utara,Safuan,Active,,,,,
BR006,RNR Sg Perak Arah Utara,Utara,Safuan,Active,,,,,
BR007,RNR Simpang Pulai Arah Selatan,Utara,Safuan,Active,,,,,
BR008,RNR Simpang Pulai Arah Utara,Utara,Safuan,Active,,,,,
BR009,Plaza Tol Simpang Pulai,Utara,Safuan,Active,,,,,
BR010,Plaza Tol WCE Taiping,Utara,Safuan,Active,,,,,
BR011,RNR Sg Nyiur Arah Utara,Utara,Safuan,Active,,,,,
BR012,Hentian Sebelah Bukit Gantang Arah Selatan,Utara,Safuan,Active,,,,,
BR013,RNR Tapah Selatan 1,Tengah,Hakim,Active,,,,,
BR014,RNR Tapah Selatan 2,Tengah,Hakim,Active,,,,,
BR015,RNR Tapah Utara,Tengah,Hakim,Active,,,,,
BR016,Plaza Tol Tapah,Tengah,Hakim,Active,,,,,
BR017,Hentian Sebelah Ladang Bikam Arah Utara,Tengah,Hakim,Active,,,,,
BR018,Hentian Sebelah Ladang Bikam Arah Selatan,Tengah,Hakim,Active,,,,,
BR019,Hentian Sebelah Behrang Arah Utara,Tengah,Hakim,Active,,,,,
BR020,Hentian Sebelah Behrang Arah Selatan,Tengah,Hakim,Active,,,,,
BR021,RNR Ulu Bernam Arah Selatan,Tengah,Hakim,Active,,,,,
BR022,Hentian Sebelah Tg Malim Arah Selatan,Tengah,Hakim,Active,,,,,
BR023,Hentian Sebelah Rawang Arah Selatan,Selatan,Yati,Active,,,,,
BR024,RNR Rawang Arah Utara,Selatan,Yati,Active,,,,,
BR025,Hentian Sebelah Sg Buluh Arah Selatan,Selatan,Yati,Active,,,,,
BR026,OBR Sg Buluh Arah Utara,Selatan,Yati,Active,,,,,
BR027,OBR Sg Buluh Arah Selatan,Selatan,Yati,Active,,,,,
BR028,Plaza Tol Sg Besi Arah Utara,Selatan,Yati,Active,,,,,
BR029,RNR Dengkil Arah Selatan,Selatan,Yati,Active,,,,,
BR030,RNR Dengkil Arah Utara,Selatan,Yati,Active,,,,,
BR031,RNR Seremban Arah Utara,Selatan,Yati,Active,,,,,
BR032,Hentian Sebelah Pedas Linggi Arah Selatan,Selatan,Yati,Active,,,,,
BR033,Hentian Sebelah Ayer Keroh Arah Selatan,Selatan,Yati,Active,,,,,
BR034,RNR Elmina Arah Barat,Selatan,Yati,Active,,,,,
BR035,RNR Gombak Arah Barat,Selatan,Yati,Active,,,,,
BR036,RNR Genting Sempah,Selatan,Yati,Active,,,,,
