branch_code,branch_name,region,area_manager,kiosk_ok,stock_ok,delivery_done
BR001,"RNR Juru Arah Selatan",UTARA,Safuan,Y,Y,
BR002,"RNR Gunung Semanggul Arah Selatan",UTARA,Safuan,Y,Y,
BR003,"RNR Gunung Semanggul Arah Utara",UTARA,Safuan,Y,Y,
BR004,"Hentian Sebelah Bukit Gantang Arah Utara",UTARA,Safuan,Y,Y,
BR005,"RNR Sg Perak Arah Selatan",UTARA,Safuan,Y,Y,
BR006,"RNR Sg Perak Arah Utara",UTARA,Safuan,Y,Y,
BR007,"RNR Simpang Pulai Arah Selatan",UTARA,Safuan,Y,Y,
BR008,"RNR Simpang Pulai Arah Utara",UTARA,Safuan,Y,Y,
BR009,"Plaza Tol Simpang Pulai",UTARA,Safuan,Y,Y,
BR010,"Plaza Tol WCE Taiping",UTARA,Safuan,Y,Y,
BR011,"RNR Sg Nyiur Arah Utara",UTARA,Safuan,Y,Y,
BR012,"Hentian Sebelah Bukit Gantang Arah Selatan",UTARA,Safuan,Y,Y,
BR013,"RNR Tapah Selatan 1",TENGAH,Hakim,Y,Y,
BR014,"RNR Tapah Selatan 2",TENGAH,Hakim,Y,Y,
BR015,"RNR Tapah Utara",TENGAH,Hakim,Y,Y,
BR016,"Plaza Tol Tapah",TENGAH,Hakim,Y,Y,
BR017,"Hentian Sebelah Ladang Bikam Arah Utara",TENGAH,Hakim,Y,Y,
BR018,"Hentian Sebelah Ladang Bikam Arah Selatan",TENGAH,Hakim,Y,Y,
BR019,"Hentian Sebelah Behrang Arah Utara",TENGAH,Hakim,Y,Y,
BR020,"Hentian Sebelah Behrang Arah Selatan",TENGAH,Hakim,Y,Y,
BR021,"RNR Ulu Bernam Arah Selatan",TENGAH,Hakim,Y,Y,
BR022,"Hentian Sebelah Tg Malim Arah Selatan",TENGAH,Hakim,Y,Y,
BR023,"Hentian Sebelah Rawang Arah Selatan",SELATAN,Yati,Y,Y,
BR024,"RNR Rawang Arah Utara",SELATAN,Yati,Y,Y,
BR025,"Hentian Sebelah Sg Buluh Arah Selatan",SELATAN,Yati,Y,Y,
BR026,"OBR Sg Buluh Arah Utara",SELATAN,Yati,Y,Y,
BR027,"OBR Sg Buluh Arah Selatan",SELATAN,Yati,Y,Y,
BR028,"Plaza Tol Sg Besi Arah Utara",SELATAN,Yati,Y,Y,
BR029,"RNR Dengkil Arah Selatan",SELATAN,Yati,Y,Y,
BR030,"RNR Dengkil Arah Utara",SELATAN,Yati,Y,Y,
BR031,"RNR Seremban Arah Utara",SELATAN,Yati,Y,Y,
BR032,"Hentian Sebelah Pedas Linggi Arah Selatan",SELATAN,Yati,Y,Y,
BR033,"Hentian Sebelah Ayer Keroh Arah Selatan",SELATAN,Yati,Y,Y,
BR034,"RNR Elmina Arah Barat",SELATAN,Yati,Y,Y,
BR035,"RNR Gombak Arah Barat",SELATAN,Yati,Y,Y,
BR036,"RNR Genting Sempah",SELATAN,Yati,Y,Y,
