SKU,Nama POS,Kategori,Harga RM
RK-KB-3,Roti Kaya - 3 pcs Kaya Butter,Roti Kaya,10.0
RK-KB-1,Roti Kaya - 1 pc Kaya Butter,Roti Kaya,3.5
RK-KO-3,Roti Kaya - 3 pcs Kaya Only,Roti Kaya,7.0
RK-KO-1,Roti Kaya - 1 pc Kaya Only,Roti Kaya,2.5
RKEL-K-3,Roti Kelapa - 3 pcs + Kaya,Roti Kelapa,10.0
RKEL-K-1,Roti Kelapa - 1 pc + Kaya,Roti Kelapa,3.5
RKEL-3,Roti Kelapa - 3 pcs,Roti Kelapa,7.0
RKEL-1,Roti Kelapa - 1 pc,Roti Kelapa,2.5
RKAC-K-3,Roti Kacang - 3 pcs + Kaya,Roti Kacang,11.0
RKAC-K-1,Roti Kacang - 1 pc + Kaya,Roti Kacang,4.0
RKAC-3,Roti Kacang - 3 pcs,Roti Kacang,8.0
RKAC-1,Roti Kacang - 1 pc,Roti Kacang,3.0
BENG-KB,Roti Benggali - Kaya Butter,Roti Benggali,12.5
BENG-KO,Roti Benggali - Kaya Only,Roti Benggali,9.0
BENG-PL,Roti Benggali - Plain,Roti Benggali,7.0
KAYA-CUP,Roti Benggali - Kaya In Cup,Roti Benggali,5.0
